,,"501st Legion, 1st Regiment, 3rd Battalion",,,,,,,,,,,,,,
Designation,Birth #,Nickname,Rank,Unit,Role,TiG,TiS,LastPromotion,Start of Service,Recruiter,Status / Initial,UTC,Month Activity,Notes,,
CR-C,19102,Ulfner,Cadet,Zeta 3-1,Trooper,59 DAY(S),62 DAY(S),20210323,20210320,Ethan,Class 54/ Cycle 4,Charlie108,2,,,
CR-C,48077,Saiko,Cadet,Zeta 1-3,Trooper,103 DAY(S),425 DAY(S),20210207,20200322,Brandon,Class 53/ Cycle 3,Charlie84,2,Returning Member approved by CX-S Kaj ,,
,,TBD,,Zeta 1-3,Trooper,N/A DAY(S),N/A DAY(S),,,,,,0,,,
,,TBD,,Zeta 1-3,Trooper,N/A DAY(S),N/A DAY(S),,,,,,0,,,
,,TBD,,Zeta 1-3,Trooper,N/A DAY(S),N/A DAY(S),,,,,,0,,,
Zeta 2nd Section,,,,,,,,,,,,,,,,
Zeta 2-1,,,,,,,,,,,,,,,,
CP,33232,Chaser,Sr. Corporal,Zeta 2-1,Squad Leader,373 DAY(S),974 DAY(S),  20200513,  20180920,Ares,Private 10,Domino35,2,Name Change from Resahc 11/21/2018,,
CT,51898,Love,Trooper,Zeta 2-1,Team Leader,544 DAY(S),677 DAY(S),20191124,20190714,Bridger,Private 62,Valentine 60,2,,,
CI-C,82992,Korvak,Trooper,Zeta 2-1,RTO,278 DAY(S),347 DAY(S),20200816,20200608,Super,Class 73/ Cycle 3,Bravo89,2,Previously known as Corson,CI-C 10/27/2020,
,,TBD,,Zeta 2-1,Medic,N/A DAY(S),N/A DAY(S),,,,,,2,,,
CT,94582,Blackeye,Trooper,Zeta 2-1,Trooper,61 DAY(S),136 DAY(S),20210321,20210105,Ethan,Private 157,Alpha103,2,,,
CR-C,13572,Seraphim,Cadet,Zeta 2-1,Trooper,70 DAY(S),93 DAY(S),20210312,20210217,Snorri,Private 165,Alpha107,2,Returning Member Approved by CS-M Jan,,
CR-C,24072,Restless,Cadet,Zeta 2-1,Trooper,77 DAY(S),79 DAY(S),20210305,20210303,Ethan/Sparticus,Private 164,Bravo108,1,Probation: 14,,
CT,13029,Tomo,Trooper,Zeta 2-1,Trooper,4 DAY(S),88 DAY(S),20210517,20210222,Snorri,Class 46/Cycle 4,Alpha106,2,,,
CT,95624,Gallagher,Sr. Trooper,Zeta 2-1,Trooper,560 DAY(S),906 DAY(S),  20191108,  20181127,Tyler,Private 13,Charlie44,2,Moved from Inactive Reserves 04/25/2021,,
,,TBD,,Zeta 2-1,Trooper,N/A DAY(S),N/A DAY(S),,,,,,0,,,
,,TBD,,Zeta 2-1,Trooper,N/A DAY(S),N/A DAY(S),,,,,,0,,,
Zeta 2-2,,,,,,,,,,,,,,,,
CT,74218,Infinite,Vt. Trooper,Zeta 2-2,Squad Leader,373 DAY(S),1058 DAY(S),  20200513,  20180628,Riley,Class 45,Foxtrot23,2,,,
,,TBD,,Zeta 2-2,Team Leader,N/A DAY(S),N/A DAY(S),,,,,,0,,,
,,TBD,,Zeta 2-2,RTO,N/A DAY(S),N/A DAY(S),,,,,,0,,,
,,TBD,,Zeta 2-2,Medic,N/A DAY(S),N/A DAY(S),,,,,,0,,,
CT,22552,Neta,Vt. Trooper,Zeta 2-2,Trooper,646 DAY(S),1075 DAY(S),  20190814,  20180611,Dwarf,Class 40,Alpha20,1,,,
,,TBD,,Zeta 2-2,Trooper,N/A DAY(S),N/A DAY(S),,,,,,0,,,
CT,27735,Vinlak,Trooper,Zeta 2-2,Trooper,110 DAY(S),272 DAY(S),20210131,20200822,Ethan,Class 7/ Cycle 4,Bravo95,3,Notes: Non Garc Transfer approved by CS-M Jan,,
CT,60964,Rootes,Trooper,Zeta 2-2,Trooper,15 DAY(S),375 DAY(S),20210506,20200511,Jan,Private 133,Charile92,3,,,
,,TBD,,Zeta 2-2,Trooper,N/A DAY(S),N/A DAY(S),,,,,,0,,,
,,TBD,,Zeta 2-2,Trooper,N/A DAY(S),N/A DAY(S),,,,,,0,,,
CT,14778,Wizard,Trooper,Zeta 2-2,Trooper, DAY(S),256 DAY(S),20210228,20200907,Ethan,Class 10/ Cycle 4,Charlie96,2,,,
Zeta 2-3,,,               ,,,,,,,,,,,,,
,,TBD,,Zeta 2-3,Squad Leader,N/A DAY(S),N/A DAY(S),,,,,,0,,,
,,TBD,,Zeta 2-3,Team Leader,N/A DAY(S),N/A DAY(S),,,,,,0,,,
,,TBD,,Zeta 2-3,RTO,N/A DAY(S),N/A DAY(S),,,,,,0,,,
,,TBD,,Zeta 2-3,Medic,N/A DAY(S),N/A DAY(S),,,,,,0,,,
,,TBD,,Zeta 2-3,Trooper,N/A DAY(S),N/A DAY(S),,,,,,0,,,
,,TBD,,Zeta 2-3,Trooper,N/A DAY(S),N/A DAY(S),,,,,,0,,,
,,TBD,,Zeta 2-3,Trooper,N/A DAY(S),N/A DAY(S),,,,,,0,,,
,,TBD,,Zeta 2-3,Trooper,N/A DAY(S),N/A DAY(S),,,,,,0,,,
,,TBD,,Zeta 2-3,Trooper,N/A DAY(S),N/A DAY(S),,,,,,0,,,
,,TBD,,Zeta 2-3,Trooper,N/A DAY(S),N/A DAY(S),,,,,,0,,,
,,TBD,,Zeta 2-3,Trooper,N/A DAY(S),N/A DAY(S),,,,,,0,,,
Zeta 3rd Section,,,,,,,,,,,,,,,,
Zeta 3-1,,,,,,,,,,,,,,,,
CS,30138,Juggernaut,Sergeant,Zeta 3-1,Squad Leader,562 DAY(S),1068 DAY(S),  20191106,  20180618,Glue,Class 43,Alpha21,,Changed name from Kraken 20191230,,
CR-C,62397,Dragon,Cadet,Zeta 3-1,Trooper,52 DAY(S),54 DAY(S),20210330,20210328,Ethan,Class 56/Cycle 4,Charlie108,,,,
CR-C,45406,Bytezo,Cadet,Zeta 3-1,Trooper,55 DAY(S),55 DAY(S),20210327,20210327,Daunte/Charel,Private 166,Charlie108,,Probation (Age 14),,
CR-C,14395,Novac,Cadet,Zeta 3-1,Trooper,24 DAY(S),97 DAY(S),20210427,20210213,Super,Class 60/Cycle 4,TBD,,,,
,,TBD,Cadet,Zeta 3-1,Trooper,N/A DAY(S),N/A DAY(S),,,,,,,,,
CR-C,,TBD,Cadet,Zeta 3-1,Trooper,N/A DAY(S),N/A DAY(S),,,,,,,,,
CR-C,22368,Fish,Cadet,Zeta 3-1,Trooper,10 DAY(S),10 DAY(S),2021-05-11,2021-05-11,Bit,,TBD,,,,
CR-C,12706,Cable,Cadet,Zeta 3-1,Trooper,52 DAY(S),55 DAY(S),20210330,20210327,Brandon/Genesis,Class 56/Cycle 4,Alpha108,,Prohibition (15),Name Change from Packy due to TS tech support issues. 4/15/20 Approved by CC Player,
CR-C,,TBD,Cadet,Zeta 3-1,Trooper,N/A DAY(S),N/A DAY(S),,,,,,,,,
CR-C,,TBD,Cadet,Zeta 3-1,Trooper,N/A DAY(S),N/A DAY(S),,,,,,,,,
CR-C,15084,Shady,Cadet,Zeta 3-1,Trooper,57 DAY(S),59 DAY(S),20210325,20210323,Wag,Class 55/ Cycle 4,Alpha108,,,,
Zeta 3-2,,,,,,,,,,,,,,,,
CP,11699,Scanlon ,Sr. Corporal,Zeta 3-2,Squad Leader,107 DAY(S),977 DAY(S),  20210203,  20180917,Alex,Class 68,Echo33,,,,
CR-C,,TBD,Cadet,Zeta 3-2,Trooper,,,,,,,,,,,
CR-C,55247,Soap,Cadet,Zeta 3-2,Trooper,121 DAY(S),218 DAY(S),20210120,20201015,Aspect,Class 21/ Cycle 4,Charlie109,,,,
CR-C,,TBD,Cadet,Zeta 3-2,Trooper,,,,,,,,,,,
CR-C,46785,Strugis,Cadet,Zeta 3-2,Trooper,94 DAY(S),98 DAY(S),20210216,20210212,Charl,Class 44/Cycle 4,Bravo107,,,,
CR-C,13969,Boomer,Cadet,Zeta 3-2,Trooper,92 DAY(S),94 DAY(S),20210218,20210216,Bridger,Class 45/Cycle 4,Alpha105,,Returning Member Approved by CC Player,,
CR-C,45381,Aqua,Cadet,Zeta 3-2,Trooper,71 DAY(S),72 DAY(S),20210311,20210310,Walsh,Class 51/ Cycle 4,Bravo108,,Can't Login into website,Changed name from Blue 20210313,
CR-C,24693,Syphex,Cadet,Zeta 3-2,Trooper,106 DAY(S),106 DAY(S),20210204,20210204,Virtox,Class 42/Cycle 4,TBD,,,,
CR-C,35772,Escape,Cadet,Zeta 3-2,Trooper,78 DAY(S),87 DAY(S),20210304,20210223,Aspect,Class 49/Cycle 4,Alpha106,,,,
CR-C,,TBD,Cadet,Zeta 3-2,Trooper,N/A DAY(S),N/A DAY(S),,,,,,,,,
