,Birth #,Nickname,Rank,Unit,Role,TiG,TiS,LastPromotion,Start of Service,Recruiter,Status / Initial,UTC,Notes,,,,,,
CT,55117,Maxson,Trooper,Inactive Reserves,Trooper,232 DAY(S),295 DAY(S),20201004,20200802,Snorri/Walsh,Class 1/ Cycle 4,Delta93,Moved from Zeta to Inactive Reserves 11/11/2020 - Inactivity,,,,,,
CT,27912,Presto,Trooper,Inactive Reserves,Trooper,603 DAY(S),706 DAY(S),20190929,20190618,Brandon,Private 52,Phantom 62,Moved from Zeta to Inactive Reserves 11/16/2020 - Inactivity (Was entirely unreachable),,,,,,
CT,67452,Bull,Trooper,Inactive Reserves,Trooper,218 DAY(S),329 DAY(S),20201018,20200629,Weaver,Class 79/ Cycle 3,Alpha91,Moved from Palced to Inactive 11/17/2020,,,Probation: 15,Changed from Cookies to Bull 7/4/2020,,
CT,39580,Fakie,Trooper,Inactive Reserves,Trooper,339 DAY(S),398 DAY(S),20200619,20200421,Twine/Shadow,Class 61/ Cycle 3,Charlie86,Moved from Placed to Inactive 1/7/2020,,,,,,
CT,13030,November,Trooper,Inactive Reserves,Trooper,799 DAY(S),858 DAY(S),  20190317,  20190117,September,Class 91,Charlie50,Moved from Zeta 1/9/21,,,,,,
CT,85135,Lost,Trooper,Inactive Reserves,Trooper,134 DAY(S),253 DAY(S),20210110,20200913,Wag,Class 12/ Cycle 4,Alpha97,Moved from Zeta to Inactive 1/12/2021,Name Changed from Kete,,,,,
CT,1247,Arturion,Trooper,Inactive Reserves,Trooper,652 DAY(S),708 DAY(S),20190811,20190616,Cholt,Class 132,Decimate 61,Removed from RTO 1/28/1010,,,Returning Member approved by Jay,,,
CT,90101,Anarchy,Trooper,Inactive Reserves,Trooper,456 DAY(S),636 DAY(S),20200223,20190827,Vulture,Class 8 / Cycle 3,Decimate 74,Removed from RTO 1/28/1010,,,,,,
CT,96751,Dutch,Trooper,Inactive Reserves,Trooper,400 DAY(S),481 DAY(S),20200419,  20200129,"Snorri, Drammon",Private 103,Charlie81,Removed from RTO 1/28/1010,,,,,,
CT,13141,Anorant,Trooper,Inactive Reserves,Trooper,505 DAY(S),614 DAY(S),  2020015,20190918,Clock,Class 13/ Cycle 3,Phantom 69,Removed from RTO 1/28/1010,,,,,,
CT,90998,Muranyi,Trooper,Inactive Reserves,Trooper,197 DAY(S),273 DAY(S),20201108,  20200824,Drammon,Class 7/ Cycle 4,Charlie95,Moved from Zeta 01/31/2021,,,,,,
CT,10257,Rackor,Trooper,Inactive Reserves,Trooper,736 DAY(S),850 DAY(S),  20190519,  20190125,Ash,Private 22,Private,Moved from Zeta 02/04/2021 - Requested Discharge,,,,,,
CT,34521,Urse,Trooper,Inactive Reserves,Trooper,358 DAY(S),775 DAY(S),  20200531,  20190410,Black,Private 122,Alpha85,Returning member approved by CX Scuba	,,Removed from Placed 01/30/2021 - ELOA,,,,
CT,84575,Chad,Trooper,Inactive Reserves,Trooper,549 DAY(S),686 DAY(S),20191122,20190708,Walsh,Class 138 / Cycle 2,Decimate 62,Momved from Zeta 03/02/2021,Inactivity - February,,,,,
CT,25152,Tatum,Trooper,Inactive Reserves,Trooper,73 DAY(S),494 DAY(S),  20210312,20200116,Cholt,Class 36/ Cycle 3,Alpha79,Removed from Avalanche 03/12/2021,,,,,,
CT,10016,Deo,Trooper,Inactive Reserves,Trooper,1067 DAY(S),1097 DAY(S),20180622,20180523,Kahn,Class 38,Foxtrot 19,Removed from Medical Reserves 01/05/2021,,,,,,
CT,30215,Willical,Trooper,Inactive Reserves,Trooper,101 DAY(S),193 DAY(S),  20210212,  20201112,Walsh,Class 59,Domino19,Approved Returning Member CC Crisis,,,,,,
CT,19957,Cortes,Trooper,Inactive Reserves,Trooper,64 DAY(S),813 DAY(S),  20210321,  20190303,Barbary,Class 103,Decimate 54,Moved from Zeta to inactive Reserves 04/27/2021,,,,,,
CT,60010,Mingus,Trooper,Inactive Reserves,Trooper,169 DAY(S),236 DAY(S),20201206,20200930,Ethan/Genesis,Class 17/ Cycle 4,Alpha97,Moved from Zeta 04/29/2021,,,,,,
CT,74365,Wanderer,Trooper,Inactive Reserves,Trooper,197 DAY(S),252 DAY(S),20201108,20200914,Ethan,Class 12/ Cycle 4,Alpha96,Moved from Zeta 05/05/2021,,,,,,
CT,22003,Luuce,Trooper,Inactive Reserves,Trooper,859 DAY(S),1114 DAY(S),  20190116,  20180506,Cobra,Class 45,Bravo22,Removed from Razor Reserves 5/16/2021,,,,,,
CT,36419,Slurps,Trooper,Inactive Reserves,Trooper,609 DAY(S),908 DAY(S),  20190923,  20181128,Tyler,Class 86,Bravo44,Removed from Razor Reserves 5/16/2021,,,,,,
Cadets,,Cadets,,lol,,,,,,,,,move,,,,,,
CR-C,15599,Torres,Cadet,Inactive Reserves,Trooper,834 DAY(S),1070 DAY(S),  20190210,  20180619,Glue,Class 43,Charlie21,,,,,,,
CR-C,64623,Data,Cadet,Inactive Reserves,Trooper,1046 DAY(S),1064 DAY(S),  20180713,  20180625,Riley,Class 44,Alpha22,,,,,,,
CR-C,61780,Maroon,Cadet,Inactive Reserves,Trooper,899 DAY(S),1224 DAY(S),  20181207,  20180116,Myth,Class 1,Bravo8,"Moved to reserves 6/30/2018 | Returning member, demoted 12/06/18",,,,,,
CR-C,29871,Arsonil,Cadet,Inactive Reserves,Trooper,941 DAY(S),964 DAY(S),  20181026,  20181003,Shape,Class 73,Bravo34,Moved to Inactive Reserves 03/01/19 from Zeta - Inactivity,,,,,,
CR-C,21654,Crash,Cadet,Inactive Reserves,Trooper,822 DAY(S),875 DAY(S),  20190222,  20181231,Broad,Class 88,Charlie51,Moved to Inactive Reserves 03/31/19 from Zeta - Inactivity,,,,,,
CR-C,29057,Absent,Cadet,Inactive Reserves,Trooper,1032 DAY(S),1049 DAY(S),  20180727,  20180710,Klown,Class 49,Domino24,Moved to Inactive Reserves 03/31/19 from Zeta - Inactivity,,,,,,
CR-C,22001,Bolts,Cadet,Inactive Reserves,Trooper,899 DAY(S),991 DAY(S),  20181207,  20180906,Shape,Class 82,Bravo40,Moved to Inactive Reserves 03/31/19 from Zeta - Inactivity,,,,,,
CR-C,64628,Lumberjack,Cadet,Inactive Reserves,Trooper,822 DAY(S),852 DAY(S),  20190222,  20190123,Shape,Class 93,Alpha50,Moved to Inactive Reserves 03/31/19 from Zeta - Inactivity,,,,,,
CR-C,42512,Pants,Cadet,Inactive Reserves,Trooper,899 DAY(S),926 DAY(S),  20181207,  20181110,Lich,Class 81,Alpha40,Moved out of Zeta Applicants Pool 05/19/2019,,,,,,
CR-C,48025,Shifter,Cadet,Inactive Reserves,Trooper,983 DAY(S),1015 DAY(S),  20180914,  20180813,Walsh,Class 60,Domino30,Moved out of Zeta Applicants Pool 05/19/2019,,,,,,
CR-C,27852,Catch,Cadet,Inactive Reserves,Trooper,892 DAY(S),953 DAY(S),  20181214,  20181014,Shape,Private 10,Charlie41,Moved out of Zeta Applicants Pool 05/19/2019,,,Name Change from Mcpants 11/14/2018,,,
CR-C,42937,Sword,Cadet,Inactive Reserves,Trooper,906 DAY(S),937 DAY(S),  20181130,  20181030,Chan,Class 80,Charlie39,Moved out of Zeta Applicants Pool 05/19/2019,,,,,,
CR-C,15915,Accel,Cadet,Inactive Reserves,Trooper,885 DAY(S),926 DAY(S),  20181221,  20181110,Kaj,Class 85,Charlie42,Moved out of Zeta Applicants Pool 05/19/2019,,,,,,
CR-C,64714,Sauce,Cadet,Inactive Reserves,Trooper,892 DAY(S),916 DAY(S),  20181214,  20181120,Shape,Class 83,Charlie41,Moved out of Zeta Applicants Pool 05/19/2019,,,,,,
CR-C,24450,Adjacent,Cadet,Inactive Reserves,Trooper,920 DAY(S),967 DAY(S),  20181116,  20180930,Needles,Class 72,Alpha37,Moved out of Zeta Applicants Pool 05/19/2019,,,,,,
CR-C,34023,Griff,Cadet,Inactive Reserves,Trooper,871 DAY(S),946 DAY(S),  20190104,  20181021,Lich,Class 84,Alpha44,Moved out of Zeta Applicants Pool 05/19/2019,,,,,,
CR-C,11272,Minashi,Cadet,Inactive Reserves,Trooper,692 DAY(S),943 DAY(S),  20190702,  20181024,Barbary,Class 79,Alpha38,Moved to Inactive Reserves 07/02/2019 From Razor - Inactive,,,,,,
CR-C,17107,Pepper,Cadet,Inactive Reserves,Trooper,727 DAY(S),974 DAY(S),  20190528,20180923,Lucius/Courage/Needles,Class 77,Echo37,Moved out of Zeta Applicants Pool 07/04/2019,,,,,,
CR-C,56812,Trueshot,Cadet,Inactive Reserves,Trooper,685 DAY(S),1223 DAY(S),  20190709,  20180117,Sparrow,Class 2,Echo5,Moved to Reserves on 20180528 / Removed from Medic 20180917,,,,,,
CR-C,28491,Dart,Cadet,Inactive Reserves,Trooper,1053 DAY(S),1075 DAY(S),  20180706,  20180614,Brandon,Class 43,Alpha21,Moved to  Inactve Reserves 7/14/19 from Zeta - Inactivity,,,,,,
CR-C,19222,Gnagg,Cadet,Inactive Reserves,Trooper,696 DAY(S),802 DAY(S),  20190628,  20190314,Shape,Class 106,Valentine 55,Moved pit pf Zeta Applicant Pool - 07/30/2019,,,,,,
CR-C,90917,Harry,Cadet,Inactive Reserves,Trooper,703 DAY(S),754 DAY(S),  20190621,  20190501,Exod,Class 120,Decimate 59,Moved to Inactive Reserves 08/01/19 from Zeta - Inactivity,,,,Returning Member Approved by BC Jay,,
CR-C,15533,Jax,Cadet,Inactive Reserves,Trooper,724 DAY(S),760 DAY(S),  20190531,  20190425,Rayne,Private 41,Decimate57,Moved to Inactive Reserves 08/01/19 from Zeta - Inactivity,,,,Name changed from Wedge,,
CR-C ,19627,Guns,Cadet,Inactive Reserves,Trooper,731 DAY(S),829 DAY(S),  20190524,  20190215,Komodo/Shadow,Private 26,Decimate 55,Moved to Inactive Reserves 08/25/2019 from Zeta - Inactivity,,,,,,
CR-C,62794,Dank,Cadet,Inactive Reserves,Trooper,666 DAY(S),738 DAY(S),20190728,  20190517,Brandon/Shadow/Walsh,Private 45,Phantom 59,Moved from Zeta Applicant Pool 08/28/2019,,,,,,
CR-C,26668,Hound,Cadet,Inactive Reserves,Trooper,682 DAY(S),733 DAY(S),20190712,  20190522,Maurice/Mars,Class 124,Phantom 61,Moved to Inactive Reserves 09/01/19 from Zeta - Inactivity,,,,,,
CR-C,44145,Lystra,Cadet,Inactive Reserves,Trooper,682 DAY(S),830 DAY(S),20190712,  20190214,Komodo,Private 31,Valentine 56,Moved to Inactive Reserves 09/01/19 from Zeta - Inactivity,,,,,,
CR-C,92543,Adventure,Cadet,Inactive Reserves,Trooper,744 DAY(S),862 DAY(S),  20190511,  20190113,Tyler,Class 94,Phantom 53,Moved to Inactive Reserves 09/11/19 from Zeta - Inactivity,,,,,,
CR-C,61598,Casnova,Cadet,Inactive Reserves,Trooper,772 DAY(S),863 DAY(S),  20190413,  20190112,Glue,Class 75,Foxtrot35,Removed from Razor 09/24/19 - Inactivity,,,,,,
CR-C,98248,Dubbs,Cadet,Inactive Reserves,Trooper,736 DAY(S),1040 DAY(S),  20190519,  20180719,Shape,Class 55,Bravo27,Removed from Razor 09/24/19 - Inactivity,,,,,,
CR-C,24252,Charred,Cadet,Inactive Reserves,Trooper,696 DAY(S),739 DAY(S),20190628,20190516,Maurice,,,Removed from Zeta to Inactive Reserves 10/01/2019 - Inactivity,,,,,,
CR-C,95480,Lewt,Cadet,Inactive Reserves,Trooper,611 DAY(S),674 DAY(S),20190921,20190720,Spark,Class 1/Cycle 3,Decimate 65,Moved out of Zeta Applicant Pool 11/5/19,,,Could not login on website,,,
CR-C,20708,Shovel,Cadet,Inactive Reserves,Trooper,611 DAY(S),744 DAY(S),20190921,  20190511,Shadow,Class 133,Phantom 62,Moved out of Zeta Applicant Pool 11/5/19,,,,,,
CR-C,14099,Sej,Cadet,Inactive Reserves,Trooper,584 DAY(S),733 DAY(S),  20191018,  20190522,Hook,Class 124,Valentine62,Moved out of Zeta Applicant Pool 11/5/19,,,,,,
CR-C,58599,Beowulf,Cadet,Inactive Reserves,Trooper,619 DAY(S),661 DAY(S),  20190913,20190802,Shadow/Magnus,Class 3 / Cycle 3,Phantom 67,Moved to Inactive Reserves 11/09/19 from Zeta - Inactivity,,,,,,
CR-C,35486,Garder,Cadet,Inactive Reserves,Trooper,556 DAY(S),649 DAY(S),20191115,20190814,Barbary,Class 8 / Cycle 3,Decimate 69,Moved out of Zeta Applicant Pool 1/2/2020,,,,,,
CR-C,21999,Norris,Cadet,Inactive Reserves,Trooper,578 DAY(S),578 DAY(S),20191024,20191024,Ethan,Class 75,Phantom 74,Moved out of Zeta Applicant Pool 1/2/2020,,,,,,
CR-C,20177,Tungsten,Cadet,Inactive Reserves,Trooper,592 DAY(S),633 DAY(S),20191010,20190830,Brandon,Class 9 / Cycle 3,Valentine 60,Moved out of Zeta Applicant Pool 1/4/2020,,,,,,
CR-C,18090,Sawman,Cadet,Inactive Reserves,Trooper,563 DAY(S),655 DAY(S),20191108,20190808,Bridger,Class 6 / Cycle 3,Decimate 68,Moved to Inactive Reserves 02/01/2020 from Zeta - Inactivity,,,,,,
CR-C,11526,Kalle,Cadet,Inactive Reserves,Trooper,962 DAY(S),986 DAY(S),  20181005,  20180911,Shape,Private 9,Domino33,Moved out of Zeta Applicant Pool 2/20/2020,,,,,,
CR-C,18375,War,Cadet,Inactive Reserves,Trooper,514 DAY(S),827 DAY(S),  20191227,  20190217,Komodo,Class 100,Phantom 77,Removed from Zeta to Inactive Reserves 03/03/2020 - Inactivity,,,,,,
CR-C,97192,Chack,Cadet,Inactive Reserves,Trooper,549 DAY(S),596 DAY(S),20191122,20191006,Ripjaw,Class 17/ Cycle 3,Decimate 73,Removed from Zeta to Inactive Reserves 03/03/2020 - Inactivity,,,Moved to Inactive Reserves 09/07/19,,,
CR-C,53777,Pawn,Cadet,Inactive Reserves,Trooper,479 DAY(S),533 DAY(S),20200131,20191208,Archaic,Private 91,Bravo78,Removed from Zeta to Inactive Reserves 03/03/2020 - Inactivity,,,,,,
CR-C,20330,Metro,Cadet,Inactive Reserves,Trooper,556 DAY(S),827 DAY(S),  20191115,  20190217,Walsh,Class 101,Valentine 53,Removed from Zeta to Inactive Reserves 03/03/2020 - Inactivity,,,,,,
CR-C,42526,Sleepy,Cadet,Inactive Reserves,Trooper,479 DAY(S),587 DAY(S),20200131,20191015,Frost,Class 19/ Cycle 3,Decimate 77,Moved out of Zeta Applicant Pool 03/03/2020,,,Name changed from Ace to Sleepy 3/11/2019,,,
CR-C,12003,Gerolf,Cadet,Inactive Reserves,Trooper,479 DAY(S),525 DAY(S),20200131,20191216,Ethan,Class 32/ Cycle 3,Domino78,Moved out of Zeta Applicant Pool 03/03/2020,,,Returning Member Approved by BC Bondoer,,,
CR-C,91825,Cab,Cadet,Inactive Reserves,Trooper,451 DAY(S),483 DAY(S),20200228,20200127,Ethan,Class 32/ Cycle 3,Delta79,Moved out of Zeta Applicant Pool 04/03/2020,,,,,,
CR-C,84615,Twig,Cadet,Inactive Reserves,Trooper,451 DAY(S),478 DAY(S),20200228,20200201,Broad,Class 40/ Cycle 3,Charlie80,Moved out of Zeta Applicant Pool 04/03/2020,,,,,,
CR-C,69584,Gravity,Cadet,Inactive Reserves,Trooper,451 DAY(S),478 DAY(S),20200228,20200201,Broad,Class 40/ Cycle 3,Charlie80,Removed from Zeta to Inactive Reserves 04/04/2020 - Inactivity,,,,,,
CR-C,1337,Namenai,Cadet,Inactive Reserves,Trooper,415 DAY(S),1419 DAY(S),20200404,  20170705,Broad,-,-,Returning member approved by CX Scuba        ,,,,,,
CR-C,51398,Nobilis,Cadet,Inactive Reserves,Trooper,428 DAY(S),499 DAY(S),20200322,20200111,Magnus/Brandon/Aspect,Class 34/ Cycle 3,Alpha82,Moved out of Zeta Applicant Pool 04/22/2020,,,,,,
CR-C,73235,Pork,Cadet,Inactive Reserves,Trooper,437 DAY(S),458 DAY(S),20200313,  20200221,Ethan,Private 110,Delta81,Removed from Zeta to Inactive Reserves 05/02/2020 - Inactivity,,,,,,
CR-C,24512,Sheperd,Cadet,Inactive Reserves,Trooper,428 DAY(S),979 DAY(S),20200322,20180918,Weiss,Class 68,Alpha82,Removed from Zeta to Inactive Reserves 05/02/2020 - Inactivity,,,,,,
CR-C,70719,Staho,Cadet,Inactive Reserves,Trooper,388 DAY(S),404 DAY(S),20200501,20200415,Snorri,Class 59/ Cycle 3,Charlie85,Removed from Zeta to Inactive Reserves 05/22/2020 - Inactivity/ELOA,,,,,,
CR-C,10113,Freyja,Cadet,Inactive Reserves,Trooper,374 DAY(S),397 DAY(S),20200515,20200422,Snorri/Walsh,Private 125,Charlie86,Removed from Zeta to Inactive Reserves 06/01/2020 - Inactivity,,,,,,
CR-C,24826,Maik,Cadet,Inactive Reserves,Trooper,388 DAY(S),406 DAY(S),20200501,20200413,Weaver,Class 58/ Cycle 3,Bravo85,Moved out of Zeta Applicant Pool 06/01/2020,,,,,,
CR-C,66236,Abbadon,Cadet,Inactive Reserves,Trooper,388 DAY(S),470 DAY(S),20200501,20200209,Weiss,Class 41/ Cycle 3,Alpha83,Moved out of Zeta Applicant Pool 06/01/2020,,,,,,
CR-C,31133,Mooq,Cadet,Inactive Reserves,Trooper,388 DAY(S),427 DAY(S),20200501,20200323,Bridger/York/Shadow,Class 54/ Cycle 3,Charlie84,Moved out of Zeta Applicant Pool 06/01/2020,,,,,,
CR-C,44844,Leyra,Cadet,Inactive Reserves,Trooper,374 DAY(S),390 DAY(S),20200515,20200429,Snorri,Class 62/ Cycle 3,Foxtrot86,Moved out of Zeta Applicant Pool 06/07/2020,,,,,,
CR-C,89490,Diamond,Cadet,Inactive Reserves,Trooper,388 DAY(S),429 DAY(S),20200501,20200321,Weiss,Class 53/ Cycle 3,Charlie84,Removed from Zeta to Inactive Reserves 06/14/2020 - Inactivity,,,,,,
CR-C,22053,Accies,Cadet,Inactive Reserves,Trooper,374 DAY(S),409 DAY(S),20200515,20200410,Black,Private 122,Bravo85,Moved out of Zeta Applicant Pool 06/15/2020,,,Returning member approved by CX Scuba	,,,
CR-C,53453,Scythe,Cadet,Inactive Reserves,Trooper,357 DAY(S),531 DAY(S),20200601,20191210,Cursed,Class 32/ Cycle 3,Echo87,Moved from Zeta to Inactive Reserves 6/22/2020,,,,,,
CR-C,71258,Cleaner,Cadet,Inactive Reserves,Trooper,357 DAY(S),376 DAY(S),20200601,20200513,Weiss,Private 129,Bravo87,Moved out of Zeta Applicant Pool 06/25/2020,,,,,,
CR-C,27189,Heimdall,Cadet,Inactive Reserves,Trooper,343 DAY(S),381 DAY(S),20200615,20200508,Rayne,Class 65/ Cycle 3,Delta87,Removed from Zeta to Inactive Reserves 06/27/2020 - Requested / Inactivity,,,,Returning Member Approved by Scuba,,Name change from Boggs 20200519
CR-C,11775,Locust,Cadet,Inactive Reserves,Trooper,357 DAY(S),908 DAY(S),20200601,20181128,Spartan,-,Bravo87,Moved from Zeta to Inactive Reserves 7/02/2020 - Inactivity,,,,,,
CR-C,58729,Overflow,Cadet,Inactive Reserves,Trooper,343 DAY(S),366 DAY(S),20200615,20200523,Archaic,Private 132,Alpha88,Moved from Zeta to Inactive Reserves 07/25/2020 - Requested Discharge,,,,Probation: 15,212th Transfer Approved by CC Fancy,
CR-C,42069,Glue,Cadet,Inactive Reserves,Trooper,393 DAY(S),1224 DAY(S),20200426,  20180116,Broad,Private 112,Bravo83,Moved out of Zeta Applicant Pool 08/01/2020,,,Returning member approved by CX Scuba,,,
CR-C,54620,Joe,Cadet,Inactive Reserves,Trooper,322 DAY(S),498 DAY(S),20200706,20200112,Drammon,Class 34/ Cycle 3,Charlie89,Moved to Inactive Reserves from Zeta 08/02/2020 - Inactivity,,,,Trouble logging in to website,,
CR-C,11072,Thiliedir,Cadet,Inactive Reserves,Trooper,983 DAY(S),1077 DAY(S),  20180914,  20180612,Brandon,Private 8,Private,Moved to Inactive Reserves from Zeta 08/02/2020 - Inactivity,,,,Changed name from Stonewall 20200623,,
CR-C,11398,Paradyce,Cadet,Inactive Reserves,Trooper,388 DAY(S),404 DAY(S),20200501,20200415,Snorri,Class 59/ Cycle 3,Alpha85,Moved out of Zeta Applicant Pool 08/10/2020,,,Returning member approved by CX Scuba        ,,,
CR-C,3520,Logic,Cadet,Inactive Reserves,Trooper,803 DAY(S),1383 DAY(S),  20190313,  20170810,Bobs,-,-,Moved to Reserves from Medical Reserves 8/21/2020,,,,,,
CR-C,9253,Combs,Cadet,Inactive Reserves,Trooper,1223 DAY(S),1266 DAY(S),  20180117,  20171205,Scuba,-,-,Moved to Inactive Reserves from Zeta 08/27/2020 - Requested Discharge/LOA,,,,,,
CR-C,64873,Lucius,Cadet,Inactive Reserves,Trooper,301 DAY(S),368 DAY(S),20200727,20200521,Lucky,Class 81/ Cycle 3,Bravo91,Moved to Inactive Reserves from Zeta 09/01/2020 - Inactivity,,,,,,
CR-C,11939,Von,Cadet,Inactive Reserves,Trooper,280 DAY(S),293 DAY(S),20200817,20200804,Ethan,Class 1/ Cycle 4,Bravo93,Moved to Inactive Reserves from Zeta 09/03/2020 - Inactivity/ULOA,,,,,,
CR-C,15649,Clay,Cadet,Inactive Reserves,Warden,308 DAY(S),336 DAY(S),20200720,20200622,"Frisk, Walsh",Class 77/ Cycle 3,Alpha90,Moved from Warden to Inactive Reserves as Cadet 9/7/2020,,,,,,
CR-C,98989,Bomb,Cadet,Inactive Reserves,Trooper,357 DAY(S),392 DAY(S),20200601,20200427,Bridger,Class 62/ Cycle 3,Delta86,Moved to Inactive Reserves from Zeta 09/08/2020 - Inactivity,,,,,,
CR-C,26246,Wraith,Cadet,Inactive Reserves,Trooper,301 DAY(S),327 DAY(S),20200727,20200701,Frisk/Reck/Walsh,Class 80/ Cycle 3,Bravo91,Moved out of Zeta Applicant Pool 09/09/2020,,,Returning Member Approved by CC Player,,,
CR-C,55101,Doro,Cadet,Inactive Reserves,Trooper,301 DAY(S),322 DAY(S),20200727,20200706,Habas/Ripjaw,Class 82/ Cycle 3,Alpha91,Moved from Zeta 9/23/2020 - Left Unit,,,,,,
CR-C,40030,Durza,Cadet,Inactive Reserves,Trooper,301 DAY(S),325 DAY(S),20200727,20200703,Frisk,Class 82/ Cycle 3,Bravo91,Moved from Zeta to Inactive Reserves 10/01/2020 - AWOL (Not in unit Discords),,,,,,
CR-C,92129,Tombert,Cadet,Inactive Reserves,Trooper,983 DAY(S),1066 DAY(S),  20180914,  20180623,Mountain,Class 45,Alpha30,Moved from Zeta to inactive Reserves 11/04/2020 - Inactivity,,,,,,
CR-C,12277,Oka,Cadet,Inactive Reserves,Trooper,280 DAY(S),314 DAY(S),20200817,20200714,Snorri,Class 83/ Cycle 3,Bravo92,Moved from Zeta to inactive Reserves 11/04/2020 - Inactivity,,,,,,
CR-C,25052,Alex,Cadet,Inactive Reserves,Trooper,221 DAY(S),1085 DAY(S),  20201015,  20180604,Mountain,Class 40,Hotel29,Moved from Zeta to inactive Reserves 11/04/2020 - Inactivity,,,,,,
CR-C,42020,House,Cadet,Inactive Reserves,Trooper,189 DAY(S),232 DAY(S),20201116,20201004,Cutter,Class 18/ Cycle 4,Alpha98,Movef from Zeta to Inactives 01/25/2021,Potential AWOL,,,,,
CR-C,10519,Mech,Cadet,Inactive Reserves,Trooper,124 DAY(S),148 DAY(S),20210120,20201227,Charl,Private 153,Charlie102,Moved from Zeta 01/30/2021,Left Unit,,,,,
CR-C,38436,Yogi,Cadet,Inactive Reserves,Trooper,124 DAY(S),147 DAY(S),20210120,20201228,Hantar,Class 34/ Cycle 4,Alpha102,Moved from Zeta 01/31/2021,,,,,,
CR-C,74074,Dark,Cadet,Inactive Reserves,Trooper,124 DAY(S),149 DAY(S),20210120,20201226,Bit,Class 33/ Cycle 4,Delta102,Moved from Zeta 02/02/2021,Left Unit,,,,,
CR-C,42009,Burnt,Cadet,Inactive Reserves,Trooper,168 DAY(S),1300 DAY(S),  20201207,  20171101,Swift,-,-,Moved from Zeta Applicant Pool 02/04/2021,Returning Member Approved by CW-S Ripjaw,,,,,
CR-C,26131,Caesar,Cadet,Inactive Reserves,Trooper,202 DAY(S),202 DAY(S),20201103,20201103,Buggs,Class 26/ Cycle 4,-,Moved from Zeta Applicant Pool 02/04/2021,,,,,,
CR-C,31242,Flare,Cadet,Inactive Reserves,Trooper,212 DAY(S),379 DAY(S),20201024,20200510,Aspect,Class 65/ Cycle 3,Bravo87,Moved to Inactive Reserves 2/20/2021 -UELOA,,,,,,
CR-C,67291,Spooder,Cadet,Inactive Reserves,Trooper,111 DAY(S),112 DAY(S),20210202,20210201,Cyber/Walsh,Class 41/ Cycle 4,-,Moved to Inactive Reserves 2/22/2021,Suspected AWOL,,,,,
CR-C,34733,Demccy,Cadet,Inactive Reserves,Trooper,124 DAY(S),134 DAY(S),20210120,20210110,Bit,Private 157,Charlie103,Moved to Inactive Reserves 2/22/2021,Left Unit,Returning Member Approved by CS-M Jan,,,,
CR-C,25621,Hawk,Cadet,Inactive Reserves,Trooper,123 DAY(S),128 DAY(S),20210121,20210116,Ethan,Class 38/Cycle 4,Charlie103,Moved to Inactive Reserves 2/28/2021,Suspected AWOL,Did not complete UTC,,,,
CR-C,19853,Warson,Cadet,Inactive Reserves,Trooper,124 DAY(S),204 DAY(S),20210120,20201101,Brandon,Class 26/ Cycle 4,Charlie100,Moved to Inactives from Zeta 03/02/2021,ULOA,,,,,
CR-C,21997,Paladin,Cadet,Inactive Reserves,Trooper,71 DAY(S),1023 DAY(S),20210314,20180805,Jan,Class 31b,Charlie17,Returning Member Approved by CW-M Broad,,,,,,
CR-C,10360,Gunner,Cadet,Inactive Reserves,Trooper,111 DAY(S),112 DAY(S),20210202,20210201,Bit,Class 41/Cycle 4,Bravo104,,,,,,,
CR-C,36957,Briggs,Cadet,Inactive Reserves,Trooper,112 DAY(S),123 DAY(S),20210201,20210121,Sparticus,Private 159,-,Moved from Zeta 03/25/2021,Suspected AWOL/Did not start UTC,,,,,
CR-C,58940,Journey,Cadet,Inactive Reserves,Trooper,670 DAY(S),782 DAY(S),  20190724,  20190403,Barbary,Class 113,Valentine 57,Returning Member Approved by CC Crisis,,,,,,
CR-C,62945,Tucker,Cadet,Inactive Reserves,Trooper,102 DAY(S),106 DAY(S),20210211,20210207,Daunte,Class 41/ Cycle 4,TBD,Moved from Zeta 03/29/2021,Suspected AWOL/Did not start UTC,,,,,
CR-C,35227,Heath,Cadet,Inactive Reserves,Trooper,124 DAY(S),168 DAY(S),20210120,20201207,Kain/Spud/Snorri,Class 30/ Cycle 4,Alpha101,Returning Member Approved by CS-M Jan,Moved to Inactives 04/05/2021,Left unit,,,,
CR-C,33274,Venc,Cadet,Inactive Reserves,Trooper,130 DAY(S),130 DAY(S),20210114,20210114,Bit,Class 38/Cycle 4,Charlie103,Moved to Inactives 04/05/2021,Left unit,,,,,
CR-C,42829,Sharp,Cadet,Inactive Reserves,Trooper,124 DAY(S),136 DAY(S),20210120,20210108,Wag,Class 35/ Cycle 4,Bravo103,Moved to Inactives 04/05/2021,Left unit,,,,,
CR-C,11544,Euclid,Cadet,Inactive Reserves,Trooper,124 DAY(S),185 DAY(S),20210120,20201120,Cyber,Private 151,Alpha101,Moved to Inactives 04/05/2021,Requested Discharge,,,,,
CR-C,22034,Jerry,Cadet,Inactive Reserves,Trooper,124 DAY(S),147 DAY(S),20210120,20201228,Ethan,Class 33/ Cycle 4,Foxtrot102,Moved to Inactives 04/12/2021,Discharge - AWOL,Did not finish UTC,,,,
