,Birth #,Nickname,Rank,Unit,Role,TiG,TiS,LastPromotion,Start of Service,Recruiter,Status / Initial,UTC,Notes,,,,,,
CT,59909,Jaeger,Vt. Trooper,Acklay Reserves,Airborne Trooper,491 DAY(S),1069 DAY(S),  20200119,  20180620,Jan,Class 43,Bravo21,Moved from Reserves 03/02/2020,Name change from Wilkens to Jaeger 02/06,,,,,
CT,76767,Diablo,Vt. Trooper,Acklay Reserves,Airborne Trooper,33 DAY(S),726 DAY(S),  20210421,  20190529,Komodo,Class 129,Phantom 62,Moved to Reserves 04/19/2021,,,,,,
CM,23039,Chroma,Vt. Trooper,Acklay Reserves,Medic,26 DAY(S),471 DAY(S),  20210428,  20200208,Habas,Class 42/ Cycle 3,Bravo81,Moved from Cyclone to Reserves 05/08/2021,,,,,,
CT,21096,Ritter,Vt. Trooper,Acklay Reserves,Airborne Trooper,433 DAY(S),958 DAY(S),20200317,20181009,Eli,Class 78,Alpha37,Name changed from Urban,Moved to Reserves 5/14/2021,,,,,
ARCs,,ARCs,,,,,,,,,,,,,,,,,
CT,70496,Kitsune,Vt. Trooper,ARC Reserves,ARC Trooper,502 DAY(S),992 DAY(S),  20200108,  20180905,Riley,Class 65,Bravo31,Moved from Placed to Inactive 01/20/2021,,,,,,
CT,15003,Archaic,Vt. Trooper,ARC Reserves,ARC Trooper,471 DAY(S),1006 DAY(S),  20200208,  20180822,Reck,Class 61,Bravo29,Moved to Reserves 5/1/2021,,,,,,
CT,79801,Tuch,Vt. Trooper,Nexu 2-2,ARC Trooper,558 DAY(S),1075 DAY(S),  20191113,  20180614,Walsh,Class 46,Domino24,,,,,,,
Medics,,Medics,,,,,,,,,,,,,,,,,
CM,12075,Defender,Sr. Trooper,Reserves,Medic,565 DAY(S),771 DAY(S),  20191106,  20190414,Habas,Class 115,Decimate 57,Moved to Reserves 08/20/2021,,,,,,
CM-C,15389,Cookie,Trooper,Reserves,Medic,834 DAY(S),977 DAY(S),20190210,20180920,Lucius,Class 70,Charlie42,Moved from Zeta to Inactive Reserves 10/20/2020 - Requested Discharge,,,,,,
CM-C,24275,Shot,Cadet,Reserves,Medic,273 DAY(S),314 DAY(S),20200824,20200714,Snorri,Class 86/ Cycle 3,Charlie93,Moved from Zeta 04/05/2021 - Inactivity for March,,,,,,
RTOs,,RTOs,,,,,,,,,,,,,,,,,
CI,18906,Cursed,Sr. Trooper,Reserves,RTO,463 DAY(S),1102 DAY(S),20200216,20180518,Reck,Private 5,Echo20,Moved to Inactive Reserves 06/27/2020 from Zeta - Requested Discharge - UELOA,,,,,,
CI-C,37446,Crimson,Trooper,Reserves,RTO,351 DAY(S),548 DAY(S),20200607,20191123,Ethan/Aspect,Class 27/ Cycle 3,Bravo85,Moved to Inactive Reserves from Zeta 8/22/2020,,,,,,
CI,10219,Fennec,Sr. Trooper,Reserves,RTO,383 DAY(S),619 DAY(S),20200506,20190913,Dusty,Class 14/ Cycle 3,Decimate 73,Moved to Inactive Reserves from Placed 09/26/2020,,,,,,
CI-C,57545,Dog,Trooper,Reserves,RTO,512 DAY(S),869 DAY(S),  20191229,  20190106,Kaj,Class 114,Phantom 56,Moved from Zeta to Inactive Reserves 12/14/2020 - Inactivity,,,,,,
CI-C,37329,Miles,Sr. Trooper,Reserves,RTO,327 DAY(S),733 DAY(S),  20200701,  20190522,Dusty,Class 125,Harbinger 63,Moved from Zeta Applicant pool 1/30/2021,,,,,,
CI-T,3511,Rory,Vt. Trooper,Reserves,RTO,607 DAY(S),1250 DAY(S),20190925,20171221,-,-,-,Moved from Zeta 03/01/2021,,,,,,
CI-C,95375,Frost,Trooper,Reserves,RTO,653 DAY(S),719 DAY(S),20190810,20190605,Brandon,Class 130,Decimate 61,Moved to Inactive Reserves  from Zeta 03/11/2021,,,,,,
Warrant Officers,,,,,,,,,,,,,,,,,,,
CW-P,11716,Vakarian,Chief Warrant Officer Two,Inactive Reserves,Section Commander,110 DAY(S),623 DAY(S),  20210203,  20190909,Habas,Class 12 / Cycle 3,Phantom 71,,,,,,,
Troopers,,Veteran Troopers,,,,,,,,,,,,,,,,,
CT,45365,Weaver,Vt. Trooper,Inactive Reserves,Trooper,677 DAY(S),1151 DAY(S),  20190717,  20180330,Sazi,Class 22,Charlie15,Moved to Reserves 10/14/2020/Moved to inactive reserves 12/09/2020,,,,,,
CT,3105,Corey ,Vt. Trooper,Inactive Reserves,Trooper,859 DAY(S),1376 DAY(S),  20190116,  20170817,Ewik,Cycle 1,-,"Demoted self to Vt. Trooper on 08/13/2020, Removed from medical for inactivity on 10/24.2020",,,,,,http://prntscr.com/vap3yv
CT,50234,Pops,Vt. Trooper,Inactive Reserves,Trooper,1065 DAY(S),1237 DAY(S),  20180624,  20180103,Orion,-,Charlie2,,,,,,,
CT,3356,Raz,Vt. Trooper,Inactive Reserves,Trooper,838 DAY(S),1415 DAY(S),  20190206,  20170709,King,-,-,,,,,,,
